pygame 2.0.0 (SDL 2.0.12, python 3.8.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
winner is 0
         47353192 function calls (46585617 primitive calls) in 77.424 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   807/85    0.003    0.000    0.009    0.000 sre_compile.py:71(_compile)
      181    0.003    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:969(get_data)
     4700    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     1710    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    11712    0.003    0.000    0.006    0.000 sre_parse.py:254(get)
       26    0.003    0.000    0.003    0.000 {built-in method nt._getfinalpathname}
      334    0.003    0.000    0.004    0.000 sre_compile.py:276(_optimize_charset)
      181    0.003    0.000    0.126    0.001 <frozen importlib._bootstrap_external>:849(get_code)
    56/51    0.002    0.000    0.032    0.001 {built-in method _imp.exec_dynamic}
       32    0.002    0.000    0.002    0.000 {method 'fill' of 'pygame.Surface' objects}
    521/1    0.002    0.000   77.424   77.424 {built-in method builtins.exec}
        1    0.002    0.002    0.002    0.002 {built-in method _win32sysloader.LoadModule}
      644    0.002    0.000    0.145    0.000 __init__.py:2140(distributions_from_metadata)
    274/7    0.002    0.000    0.925    0.132 <frozen importlib._bootstrap>:986(_find_and_load)
      384    0.002    0.000    0.002    0.000 {built-in method pygame.draw.line}
      269    0.002    0.000    0.110    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      694    0.002    0.000    0.002    0.000 version.py:474(_cmpkey)
     1920    0.002    0.000    0.052    0.000 __init__.py:2082(dist_factory)
    10793    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      322    0.002    0.000    0.078    0.000 __init__.py:2598(from_location)
     2432    0.002    0.000    0.206    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     1485    0.002    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      682    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    21430    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     1020    0.002    0.000    0.002    0.000 {method 'split' of 're.Pattern' objects}
  942/229    0.002    0.000    0.002    0.000 sre_parse.py:174(getwidth)
     5537    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      682    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      496    0.001    0.000    0.001    0.000 {built-in method pygame.draw.circle}
      322    0.001    0.000    0.003    0.000 __init__.py:684(add)
       31    0.001    0.000    0.004    0.000 gomoku.py:88(_draw_stone)
