pygame 2.0.0 (SDL 2.0.12, python 3.8.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
winner is 1
         259118408 function calls (206057745 primitive calls) in 131.851 seconds

   Ordered by: internal time

   ncalls  		tottime  percall  cumtime  percall filename:lineno(function)
    40320    0.005    0.000    0.005    0.000 {method 'bit_length' of 'int' objects}
     9420    0.005    0.000    0.008    0.000 version.py:187(_parse_version_parts)
      829    0.004    0.000    0.008    0.000 ntpath.py:180(split)
     5794    0.004    0.000    0.005    0.000 MonteCarloTreeNode.py:42(is_leaf)
    13053    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
     2953    0.004    0.000    0.359    0.000 MonteCarloTreeNode.py:55(best_child)
     2847    0.004    0.000    0.004    0.000 MonteCarloTreeNode.py:7(__init__)
   807/85    0.003    0.000    0.009    0.000 sre_compile.py:71(_compile)
     4700    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     4700    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
    11712    0.003    0.000    0.007    0.000 sre_parse.py:254(get)
       26    0.003    0.000    0.003    0.000 {built-in method nt._getfinalpathname}
     1710    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
      334    0.003    0.000    0.004    0.000 sre_compile.py:276(_optimize_charset)
      181    0.002    0.000    0.124    0.001 <frozen importlib._bootstrap_external>:849(get_code)
    56/51    0.002    0.000    0.037    0.001 {built-in method _imp.exec_dynamic}
    521/1    0.002    0.000  131.852  131.852 {built-in method builtins.exec}
    274/7    0.002    0.000    0.917    0.131 <frozen importlib._bootstrap>:986(_find_and_load)
       31    0.002    0.000    0.002    0.000 {method 'fill' of 'pygame.Surface' objects}
      644    0.002    0.000    0.143    0.000 __init__.py:2140(distributions_from_metadata)
      372    0.002    0.000    0.002    0.000 {built-in method pygame.draw.line}
      269    0.002    0.000    0.106    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      694    0.002    0.000    0.002    0.000 version.py:474(_cmpkey)
     1912    0.002    0.000    0.050    0.000 __init__.py:2082(dist_factory)
      682    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      322    0.002    0.000    0.078    0.000 __init__.py:2598(from_location)
    10793    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     2432    0.002    0.000    0.203    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     1020    0.002    0.000    0.002    0.000 {method 'split' of 're.Pattern' objects}
        1    0.002    0.002    0.002    0.002 {built-in method _win32sysloader.LoadModule}
     1485    0.002    0.000    0.116    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
  942/229    0.002    0.000    0.002    0.000 sre_parse.py:174(getwidth)
     5537    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      682    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
    260/7    0.001    0.000    0.913    0.130 <frozen importlib._bootstrap>:650(_load_unlocked)
      322    0.001    0.000    0.003    0.000 __init__.py:684(add)
      254    0.001    0.000    0.102    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
    10592    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     7275    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      465    0.001    0.000    0.001    0.000 {built-in method pygame.draw.circle}
       30    0.001    0.000    0.003    0.000 gomoku.py:88(_draw_stone)
      252    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      868    0.001    0.000    0.068    0.000 genericpath.py:39(isdir)
      362    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
     3988    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2146    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     3198    0.001    0.000    0.002    0.000 version.py:98(_compare)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      372    0.001    0.000    0.002    0.000 version.py:305(__str__)
      682    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      523    0.001    0.000    0.038    0.000 re.py:289(_compile)
    274/7    0.001    0.000    0.917    0.131 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     1338    0.001    0.000    0.023    0.000 version.py:48(parse)
     4185    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
    11859    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
   326/85    0.001    0.000    0.024    0.000 sre_parse.py:435(_parse_sub)
      644    0.001    0.000    0.002    0.000 genericpath.py:121(_splitext)
      362    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      471    0.001    0.000    0.003    0.000 copy.py:66(copy)
      372    0.001    0.000    0.012    0.000 __init__.py:1325(safe_version)
      340    0.001    0.000    0.033    0.000 __init__.py:2067(<genexpr>)
       20    0.001    0.000    0.062    0.003 {built-in method builtins.sorted}
      340    0.001    0.000    0.241    0.001 __init__.py:2047(find_on_path)
     6999    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       21    0.001    0.000    0.002    0.000 __init__.py:313(namedtuple)
       46    0.001    0.000    0.043    0.001 __init__.py:1625(_get)
       59    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
      235    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
     1127    0.001    0.000    0.001    0.000 __init__.py:2657(key)
      334    0.001    0.000    0.001    0.000 functools.py:34(update_wrapper)
      368    0.001    0.000    0.083    0.000 __init__.py:2785(_get_metadata)
       17    0.001    0.000    0.544    0.032 __init__.py:1(<module>)
     2841    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2694    0.001    0.000    0.001    0.000 version.py:282(<genexpr>)
     1608    0.001    0.000    0.008    0.000 __init__.py:2059(<genexpr>)
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
      550    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
     5448    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       12    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      181    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     1016    0.001    0.000    0.016    0.000 version.py:107(__init__)
     1899    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      241    0.001    0.000    0.003    0.000 __init__.py:1493(_validate_resource_path)
      161    0.001    0.000    0.003    0.000 __init__.py:2890(insert_on)
      461    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     1263    0.001    0.000    0.099    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
    181/7    0.001    0.000    0.913    0.130 <frozen importlib._bootstrap_external>:777(exec_module)
      644    0.001    0.000    0.003    0.000 ntpath.py:203(splitext)
       26    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      316    0.001    0.000    0.018    0.000 overrides.py:166(decorator)
       30    0.001    0.000    0.001    0.000 GomokuGameState.py:112(get_board)
      322    0.001    0.000    0.024    0.000 __init__.py:2042(<listcomp>)
  252/245    0.001    0.000    0.171    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
      332    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      214    0.001    0.000    0.118    0.001 __init__.py:2207(_handle_ns)
     1932    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
       15    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     2132    0.001    0.000    0.002    0.000 version.py:82(__eq__)
      616    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
      161    0.001    0.000    0.148    0.001 __init__.py:2796(activate)
      591    0.001    0.000    0.001    0.000 __init__.py:2832(__getattr__)
      253    0.001    0.000    0.001    0.000 ntpath.py:61(isabs)
     2768    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      585    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      322    0.001    0.000    0.012    0.000 __init__.py:2585(__init__)
      406    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     2132    0.001    0.000    0.001    0.000 version.py:84(<lambda>)
      235    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      181    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      241    0.001    0.000    0.005    0.000 __init__.py:1487(_fn)
     1556    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      475    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      235    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
   200/30    0.000    0.000    0.289    0.010 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      416    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:376(cached)
      161    0.000    0.000    0.001    0.000 __init__.py:2916(<listcomp>)
   346/23    0.000    0.000    0.349    0.015 {built-in method builtins.__import__}
       20    0.000    0.000    0.245    0.012 __init__.py:610(add_entry)
     2126    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
    111/5    0.000    0.000    0.001    0.000 pyparsing.py:3319(streamline)
     1442    0.000    0.000    0.000    0.000 version.py:314(<genexpr>)
      543    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      741    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
       85    0.000    0.000    0.036    0.000 sre_compile.py:759(compile)
      334    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
     1850    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
      322    0.000    0.000    0.025    0.000 __init__.py:2036(_by_version)
       85    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
       31    0.000    0.000    0.005    0.000 gomoku.py:73(_draw_board)
      215    0.000    0.000    0.001    0.000 __init__.py:2407(yield_lines)
      274    0.000    0.000    0.004    0.000 function_base.py:451(add_newdoc)
     1178    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     1082    0.000    0.000    0.001    0.000 ntpath.py:34(_get_bothseps)
     1393    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      471    0.000    0.000    0.003    0.000 pyparsing.py:1167(copy)
      471    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      254    0.000    0.000    0.102    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      161    0.000    0.000    0.112    0.001 __init__.py:2310(fixup_namespace_packages)
      194    0.000    0.000    0.018    0.000 genericpath.py:16(exists)
     2082    0.000    0.000    0.000    0.000 version.py:420(_parse_letter_version)
    56/54    0.000    0.000    0.164    0.003 <frozen importlib._bootstrap_external>:1099(create_module)
        1    0.000    0.000    0.107    0.107 __init__.py:21(<module>)
    381/7    0.000    0.000    0.909    0.130 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      901    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      487    0.000    0.000    0.005    0.000 ntpath.py:221(dirname)
    148/3    0.000    0.000    0.001    0.000 pyparsing.py:1370(_parseNoCache)
      327    0.000    0.000    0.002    0.000 re.py:203(sub)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
      322    0.000    0.000    0.002    0.000 __init__.py:1317(safe_name)
     1930    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       85    0.000    0.000    0.024    0.000 sre_parse.py:937(parse)
       26    0.000    0.000    0.006    0.000 traceback.py:321(extract)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3260(__init__)
     1066    0.000    0.000    0.001    0.000 version.py:74(__lt__)
      807    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      276    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      181    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      694    0.000    0.000    0.001    0.000 <string>:1(__new__)
     1628    0.000    0.000    0.003    0.000 __init__.py:2366(_normalize_cached)
      193    0.000    0.000    0.022    0.000 __init__.py:1409(has_metadata)
       46    0.000    0.000    0.045    0.001 __init__.py:1416(get_metadata)
     1074    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       12    0.000    0.000    0.013    0.001 __init__.py:1903(get_metadata)
      276    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1930    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      807    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       92    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      162    0.000    0.000    0.148    0.001 __init__.py:3293(<genexpr>)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      162    0.000    0.000    0.000    0.000 __init__.py:667(__iter__)
      181    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      368    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       47    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      241    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
      310    0.000    0.000    0.000    0.000 __init__.py:1944(__init__)
     1066    0.000    0.000    0.000    0.000 version.py:76(<lambda>)
        6    0.000    0.000    0.001    0.000 enum.py:134(__new__)
      373    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
     1380    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      866    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000  130.431  130.431 gomoku.py:41(run)
      254    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      222    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       50    0.000    0.000    0.061    0.001 __init__.py:2568(_version_from_file)
      678    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      235    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      146    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        1    0.000    0.000    0.002    0.002 six.py:21(<module>)
        1    0.000    0.000    0.021    0.021 pyparsing.py:26(<module>)
       90    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
      234    0.000    0.000    0.001    0.000 pkgutil.py:405(get_importer)
        1    0.000    0.000    0.013    0.013 numeric.py:1(<module>)
      544    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      322    0.000    0.000    0.003    0.000 ntpath.py:214(basename)
       12    0.000    0.000    0.003    0.000 pyparsing.py:2653(__init__)
      239    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       85    0.000    0.000    0.000    0.000 enum.py:833(__and__)
      194    0.000    0.000    0.018    0.000 __init__.py:1613(_has)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
       46    0.000    0.000    0.045    0.001 __init__.py:1431(get_metadata_lines)
      186    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      406    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       26    0.000    0.000    0.003    0.000 <frozen zipimport>:63(__init__)
       82    0.000    0.000    0.000    0.000 pyparsing.py:3719(__init__)
      239    0.000    0.000    0.005    0.000 __init__.py:1406(_get_metadata_path)
   106/82    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      582    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3390(__init__)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
        1    0.000    0.000    0.003    0.003 tokenize.py:1(<module>)
     1141    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      191    0.000    0.000    0.001    0.000 enum.py:283(__call__)
       60    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      836    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      332    0.000    0.000    0.000    0.000 functools.py:64(wraps)
      276    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      285    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       28    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
      136    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.534    0.267 __init__.py:2(<module>)
       24    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
       85    0.000    0.000    0.011    0.000 sre_compile.py:598(_code)
        4    0.000    0.000    0.001    0.000 enum.py:456(<listcomp>)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        5    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
   131/65    0.000    0.000    0.003    0.000 pyparsing.py:3363(copy)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
     1883    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      269    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:725(find_spec)
      950    0.000    0.000    0.000    0.000 version.py:490(<lambda>)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
       85    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
       47    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
       68    0.000    0.000    0.059    0.001 {built-in method builtins.next}
       59    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      694    0.000    0.000    0.000    0.000 version.py:461(_parse_local_version)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
       30    0.000    0.000    0.016    0.001 gomoku.py:60(render)
        6    0.000    0.000    0.000    0.000 enum.py:176(<setcomp>)
       50    0.000    0.000    0.062    0.001 __init__.py:3002(_reload_version)
      274    0.000    0.000    0.000    0.000 function_base.py:437(_add_docstring)
      407    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
        1    0.000    0.000    0.037    0.037 requirements.py:4(<module>)
      452    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       85    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       26    0.000    0.000    0.006    0.000 traceback.py:200(extract_stack)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.display.set_caption}
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
      186    0.000    0.000    0.000    0.000 enum.py:562(__new__)
    61/11    0.000    0.000    0.003    0.000 pyparsing.py:3288(leaveWhitespace)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
    56/51    0.000    0.000    0.037    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
     1268    0.000    0.000    0.000    0.000 __init__.py:2110(__bool__)
  112/108    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
   131/65    0.000    0.000    0.002    0.000 pyparsing.py:3365(<listcomp>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      171    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.009    0.009 socket.py:4(<module>)
       50    0.000    0.000    0.061    0.001 __init__.py:2790(_get_version)
      241    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       27    0.000    0.000    0.006    0.000 pyparsing.py:1039(_trim_arity)
        1    0.000    0.000    0.393    0.393 __init__.py:3267(_initialize_master_working_set)
       26    0.000    0.000    0.013    0.000 pyparsing.py:2779(__init__)
    77/62    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
       35    0.000    0.000    0.000    0.000 pyparsing.py:2742(__str__)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
       52    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
        1    0.000    0.000    0.003    0.003 defchararray.py:1(<module>)
        1    0.000    0.000    0.005    0.005 numerictypes.py:1(<module>)
       63    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       51    0.000    0.000    0.000    0.000 enum.py:65(__setitem__)
